;Chapter Sec;Chapter ID;Chapter Type;Chapter Requirement;Function Sec;Function ID;Function Type;Function Requirement;Hazard Sec;Hazard ID;Hazard Type;Hazard Requirement;Cause Sec;Cause ID;Cause Type;Cause Requirement;Measure Sec;Measure ID;Measure Type;Measure Requirement;Measure Description
216;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.3;564237;Cause;Emergency stop on the wireless or wired hand control is not functional during a hazardous situation;4.12.2.1.3.4;571957;Measure;User message about non-functional wireless hand control and instruction to put it in the drawer;A message shall be displayedÂ when the wireless hand control becomes non-functional or connection gets lost which shall instruct the operator to put the control into the drawer, and which shall be confirmed by the operator.   
215;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.3;564237;Cause;Emergency stop on the wireless or wired hand control is not functional during a hazardous situation;4.12.2.1.3.3;564239;Measure;Indication of e-stop functionality;The system shall indicate on the wireless hand control and on the user interface (if available, not available in battery mode) if the emergency stop of the wireless hand control is functional.   It is acceptable if the wireless hand control uses e.g. , a blinkingÂ LED for displaying the functionality.   Â Note, there are two independent time outs, one for the hand control (for detecting the connection status and indicating it) and one at the receiver (for detecting the connection status and indicating it on system side).   
214;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.3;564237;Cause;Emergency stop on the wireless or wired hand control is not functional during a hazardous situation;4.12.2.1.3.2;595749;Measure;Deactivate movement and radiation at wired hand control;If the wired hand control is disconnected or becomes non-functional, movement and radiation shall be deactivated from this control.   In case an emergency stop has been activated before unplugging or non-functionality of the wired hand control, it shall remain activated.   
213;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.3;564237;Cause;Emergency stop on the wireless or wired hand control is not functional during a hazardous situation;4.12.2.1.3.1;564238;Measure;Deactivate movement and radiation at wireless hand control receiver;"The movement and radiationÂ request shall be deactivated at the wireless hand control receiver, when the receiver looses its connection to the sender or when the communication is disturbed (independent of a potential running movement or radiation initiated from this control).   If the wireless hand control receiver becomes non-functional, movement and radiation shall be deactivated from this control.   In case an emergency stop has been activated before connection loss, it shall remain activated by the receiver.   ãNote: Safety architecture ""mixed"", see <XREF>561860</XREF> and <XREF>543971</XREF>.   Â For design constraints for single fault safety, see <XREF>578311</XREF>.   "
212;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.2;564234;Cause;Control is dropped and function gets activated;4.12.2.1.2.1;564235;Measure;Reference - Control elements protected against unintended movement activation;<XREF>562378</XREF>
211;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.1;564223;Cause;Remote controls are interchanged e. g. due to cleaning or moving the systems: Operates other system (e. g. in another room);4.12.2.1.1.5;600716;Measure;Labeling wireless hand control - collision;WARNINGCause:Â Movement released from aÂ remote hand controlÂ in another roomPossible Consequences: Collision of system with persons or objectRemedy:Â As part of the system installation, the wirelessÂ hand controlÂ is labeled according to which system it belongs to.   When utilizingÂ theÂ wireless hand control, check thatÂ it belongs to the systemÂ according to theÂ indicating labels and ensure there is visual contact with the system.   
210;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.1;564223;Cause;Remote controls are interchanged e. g. due to cleaning or moving the systems: Operates other system (e. g. in another room);4.12.2.1.1.4;600715;Measure;Optical indication of system and hand controls - collision;In Service DocumentationãWARNINGCause:Â Movement released from aÂ remote hand controlÂ in another roomPossible Consequences: Collision of system with persons or objectRemedy: Before performing any service activities with the remote hand control, check that the remote hand control belongs to the system and check that the indicating label is in place and properly visible.   
209;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.1;564223;Cause;Remote controls are interchanged e. g. due to cleaning or moving the systems: Operates other system (e. g. in another room);4.12.2.1.1.3;596993;Measure;Label wireless hand control;Factory Documentation:Â Attach a label on the wireless hand control to which system it belongs to.   
208;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.1;564223;Cause;Remote controls are interchanged e. g. due to cleaning or moving the systems: Operates other system (e. g. in another room);4.12.2.1.1.2;564225;Measure;Optical indication of system and hand control pairs;There shall be an optical indication on the system and the hand control, e.g. colored symbols, indicating that they belong together.   
207;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.1;564223;Cause;Remote controls are interchanged e. g. due to cleaning or moving the systems: Operates other system (e. g. in another room);4.12.2.1.1.1;564224;Measure;Pairing of hand control and system;The hand control and the system shall be paired.    The pairing shall be performed by an interaction on the control and on the system side within a defined time to ensure the paring of specified devices only.    Only pairs shall operate together.   
217;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.3;564237;Cause;Emergency stop on the wireless or wired hand control is not functional during a hazardous situation;4.12.2.1.3.5;595744;Measure;User message if wired hand control is non-functional;A message shall be displayed when the wired hand control is non-functional and shall instruct the operator to put the wired hand control away.    The message shall be confirmed by the operator.   
218;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.3;564237;Cause;Emergency stop on the wireless or wired hand control is not functional during a hazardous situation;4.12.2.1.3.6;564240;Measure;Reference - Emergency stop at every point of motorized movement activation;<XREF>562345</XREF>
219;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.3;564237;Cause;Emergency stop on the wireless or wired hand control is not functional during a hazardous situation;4.12.2.1.3.7;564241;Measure;Reference - Collision detection;<XREF>563490</XREF>
220;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.3;564237;Cause;Emergency stop on the wireless or wired hand control is not functional during a hazardous situation;4.12.2.1.3.8;564242;Measure;Reference - Continuous activation of movements with redundant paths;<XREF>562377</XREF>
237;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.3;564226;Hazard;Short-term delay of the clinical procedure (HS_092);4.12.2.3.2;564230;Cause;Wireless remote control is not functional: Liquid intrudes into the electronics;4.12.2.3.2.1;564231;Measure;IP protection class remote controls;The wireless and the wired remote control shall have protection class IPx5 according to EN 60529 with closed battery compartment.   
236;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.3;564226;Hazard;Short-term delay of the clinical procedure (HS_092);4.12.2.3.1;564227;Cause;Wireless remote control is not functional: Battery runs empty;4.12.2.3.1.2;564229;Measure;Wired remote control mandatory;The system shall always be equipped with a wired remote control when it is equipped with a wireless remote control (option).   
235;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.3;564226;Hazard;Short-term delay of the clinical procedure (HS_092);4.12.2.3.1;564227;Cause;Wireless remote control is not functional: Battery runs empty;4.12.2.3.1.1;564228;Measure;Check battery charge of wireless remote control;The system shall check the battery charge of the wireless remote control at start-up shall warn the operator when the remaining battery charge would not be sufficient for one day of system operation with the expected use profile.   
234;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.2;591782;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.2.2.1;591783;Cause;Remote controls are interchanged e. g. due to cleaning or moving the systems: Operates non-correctly calibrated control;4.12.2.2.1.2;591785;Measure;Reference - Optical indication of system and hand control pairs;<XREF>564225</XREF>
233;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.2;591782;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.2.2.1;591783;Cause;Remote controls are interchanged e. g. due to cleaning or moving the systems: Operates non-correctly calibrated control;4.12.2.2.1.1;591784;Measure;Reference - Pairing of hand control and system;<XREF>564224</XREF>
232;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.12;568780;Cause;Wireless control comes into reach or connect. reestablished and mov. button is activ. or tech. error in mov. release circuit;4.12.2.1.12.1;568781;Measure;Block movement when controls connecting;The system shall check the status of both movement release signal paths when controls are connected to the system.   If an active movement release signal path is detected at hot plug, movements from the affected control (sharing one enable hardware line) shall be blocked and an error message shall be displayed, until a deactivation and regular re-activation of both movement release paths take place.   
231;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.11;568778;Cause;Error in movement release circuit of the wireless control;4.12.2.1.11.2;578325;Measure;Reference - Plausibility check for sensors in movement control elements;<XREF>563673</XREF>
230;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.11;568778;Cause;Error in movement release circuit of the wireless control;4.12.2.1.11.1;578324;Measure;Reference - Continuous activation of movements with redundant paths;<XREF>562377</XREF>
229;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.10;568777;Cause;Error in wireless data transmission: Internal error in receiver;4.12.2.1.10.1;564351;Measure;Safe state wireless hand control receiver;"When the wireless hand control receiver detects an internal problem (self-test, watchdog), the receiver shall go to a safe state: X-ray and movement enable deactivated and emergency stop activated.   Â ãNote: Safety architecture ""mixed"", see <XREF>561860</XREF> and <XREF>543971</XREF>.   Â For design constraints for single fault safety, see <XREF>578311</XREF>.   "
228;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.9;576770;Cause;Error in wireless data transmission: Sleeping error in protection mechanisms of wireless transfer;4.12.2.1.9.2;578173;Measure;Safe power supply for safe wireless transfer components;The components required for protection mechanisms for safe wireless transfer shall have a safe power supply: The over- / undervoltage protection shall be either redundantly implemented or be tested at startup.    The voltage limits shall be defined according to the guaranteed working voltages of the hardware to ensure correct functionality.   Â Note: For system reaction see <XREF>564351</XREF>.   
227;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.9;576770;Cause;Error in wireless data transmission: Sleeping error in protection mechanisms of wireless transfer;4.12.2.1.9.1;576771;Measure;Self-test safe wireless transfer components;A self-test of the components required for protection mechanisms for safe wireless transfer shall be performed at system startup.    This includes the protection mechanism of the receiver as well.    In case components cannot be self-tested, the component shall be implemented redundantly.   Â Note: For system reaction see <XREF>564351</XREF>.   
226;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.8;568775;Cause;Error in wireless data transmission: Wrong information transmitted;4.12.2.1.8.1;564349;Measure;Safe wireless transfer of safety relevant information;The transfer of safety relevant movement and radiation signals / information from wireless remote controls shall be safe and protected against transmission errors (ensure integrity of packets including sequence).   When an integrity error is detected, the movement and radiation enable shall be deactivated at the wireless hand control receiver (independent of a potential running movement or radiation initiated from this control).   In case an emergency stop has been activated when the error is detected, it shall remain activated by the receiver.   
225;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.7;568774;Cause;Error in wireless data transmission: Wrong sequence of data packets, repetition of invalid packets;4.12.2.1.7.1;568779;Measure;Reference - Safe wireless transfer of safety relevant information;<XREF>564349</XREF>
224;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.6;568773;Cause;Error in wireless data transmission: Delay, loss of data packet(s);4.12.2.1.6.1;568776;Measure;Reference - Deactivate movement and radiation at wireless hand control receiver;<XREF>564238</XREF>
223;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.5;564246;Cause;Emergency stop on the wired / wireless remote control is activated and control looses connection / gets unplugged;4.12.2.1.5.2;564248;Measure;Reference - Alternative deactivation of emergency stop - hand control;<XREF>564251</XREF>
222;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.5;564246;Cause;Emergency stop on the wired / wireless remote control is activated and control looses connection / gets unplugged;4.12.2.1.5.1;564247;Measure;Reference - Deactivate movement and radiation at wireless hand control;<XREF>564238</XREF>
221;4.12;563438;Chapter;Move main unit;4.12.2;564220;Function;Perform movements via wireless hand control;4.12.2.1;564221;Hazard;Crushing by or collision with objects moving with high kinetic energy and / or high contact force or pressure (HS_042);4.12.2.1.4;578630;Cause;Emergency stop on the wireless hand control is not functional when control goes to sleep mode;4.12.2.1.4.1;578632;Measure;Reference - Emergency stop at every point of motorized movement activation;<XREF>562345</XREF>Emergency stop on wireless hand control is functional when control is in sleep mode (with only slightly increased delay time).   
206;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.12;576792;Hazard;Unnecessary exposure to low levels of ionizing radiation (HS_060);4.12.1.12.1;576793;Cause;Regulatory source to skin distance is decreased when collision detection mechanism of X-ray source cover is activated;4.12.1.12.1.1;576794;Measure;No measure required;IEC 60601-2-54, clause 203.   9 requires a minimum focal spot to skin distance (aka next surface which mechanically prevents that the operator cannot place any anatomy closer to the X-ray source, e.g. X-ray window) of 200 mm.   Theoretically, it is possible that the anatomy is positioned directly on the X-ray window so that the focal spot to skin distance would be violated.    However, this is not considered as reasonably foreseeable sequence of events.    Therefore, it is concluded, that no significant risk is related to the design.    No additional measures are required and the design is acceptable.   
205;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.11;563743;Hazard;Severe limitation of movement functionality (HS_111);4.12.1.11.1;563744;Cause;Collision sensor fails during any other operation (direction movement, standstill,â¦): permanently activated collision sensor;4.12.1.11.1.1;563745;Measure;No additional measure required;
204;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.10;563623;Hazard;Short-term delay of the clinical procedure (HS_092);4.12.1.10.1;563624;Cause;Collision is detected, the system is stopped, but the operator is not aware of the situation and is confused about the stop;4.12.1.10.1.1;563626;Measure;Collision state indication;When a collision is detected, the system shall indicate the state to the operator.   Â Note: This refers to collisions detected by collision detection sensors.    For Chassis & FD handle see <XREF>563491</XREF>.   
203;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.9;563738;Hazard;Contact with high level electrical energy (HS_002);4.12.1.9.2;576778;Cause;System is moved away from the trolley, trolley-chassis cable tension detection is not working;4.12.1.9.2.1;576779;Measure;Self-test trolley-chassis cable tension detection;The system shall perform a self-test of the trolley-chassis cable tension detection as long as the cable is plugged in.   If an error is detected the behavior shall be the same as if cable tension is detected (see <XREF>576777</XREF> and <XREF>563740</XREF>).   
181;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.6;563698;Cause;System does not move according to control parameters, does not follow the planned movement path due blocking of one drive;4.12.1.3.6.1;563699;Measure;Reference - Main Unit movement shock detection;<XREF>563684</XREF>
180;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.10;568847;Measure;Movement check after service / maintenance;There shall be a dedicated check of the movement functionality after service / maintenance activity.   
179;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.9;568848;Measure;Movement check in manufacturing;There shall be a dedicated check of the movement functionality in manufacturing.   
178;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.8;568836;Measure;Classification for mechanical shock and vibration - operation;The system shall be designed according to class 3M12 according to IEC 60721-3-3 during operation.   Note: Only components located in the main unit are relevant, not in the trolley.   
177;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.7;563697;Measure;Reference - Mechanical design drive and wheels;<XREF>561959</XREF>
176;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.6;563696;Measure;Reference - Continuous activation of movements with redundant paths;<XREF>562377</XREF>
175;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.5;563695;Measure;Reference - System speed limits;<XREF>563486</XREF>
174;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.4;563693;Measure;Reference - Maximum overtravel values;<XREF>562465</XREF>
173;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.3;563692;Measure;Reference - Set speed values;The system sets the movement speeds according to different modes and control, see <XREF>569146</XREF>, and in order to meet the overtravel limits <XREF>562465</XREF>ãand to not exceed the speed limits <XREF>563486</XREF> in normal conditions.   
172;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.2;599809;Measure;Reference - Positioning accuracy;<XREF>564155</XREF>
171;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.5;563690;Cause;System does not move according to control parameters, does not follow the planned movement path due to technical errors;4.12.1.3.5.1;563691;Measure;Reference - Main Unit shock detection;<XREF>563684</XREF>
170;4.12;563438;Chapter;Move main unit;4.12.1;563475;Function;Move main unit - motorized, general;4.12.1.3;563632;Hazard;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);4.12.1.3.4;563683;Cause;System does not move according to control parameters, does not follow the planned movement path due to external factors;4.12.1.3.4.8;561948;Measure;Reference - Warning - Weight limit for additionally mounted components;<XREF>563735</XREF>
