;Project;Baseline;Type;Hierarchy #;Section;Chapter;Function;Hazard;Cause;Measure;ID;Entry Type;Hazard Type;RequireKey;Requirement;Description;Status;Priority;Owner;Owner (First Name);Owner (Last Name);Created By;Responsible;Registered Interest;Created On;Last Modified On;Modified By;Source;Charm;Open Points;S1 Subsystem;Hazard Remark;Harm;AFAP justification;Kano Ranking;Test Level;Rearrange Operation;Rearrange Reason;Initial Risk Assessment;Residual Risk Assessment;Validation Procedure State;New;Export;Level of Requirements;Level of Test;Usability;Domain;Applicable Generic Hazard;Hazard Effect To;System S1;Target Release S1;System IGS-Platform;Target Release IGS-Platform;System PreOPlan;Target Release PreOPlan;System ISS;IGS-Platform Subsystem;Target Release ISS;System S3;Target Release S3;S3 Subsystem;System NavSim;Target Release NavSim;Traced System;P1 before;P2 before;P1 after;Polarion Migration
17;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.1.2;4;3.0;1.0;1.0;1.0;2.0;564258;R;Measure;battery_prevent_accidental_short_circuit;Battery housing preventing accidental short circuit;The housing of the battery shall prevent accidental short circuit.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;17.06.2022 08:43;Johannes Schmidt;;;;Batt;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
18;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.1.3;4;3.0;1.0;1.0;1.0;3.0;564259;R;Measure;check_wiring_battery;Wiring check battery in manufacturing;The battery wiring shall be checked during manufacturing.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
19;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.2;4;3.0;1.0;1.0;2.0;;564267;H;Cause;;Overcharging of the battery (voltage, current);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Service Personnel,System,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;
20;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.2.1;4;3.0;1.0;1.0;2.0;1.0;564260;R;Measure;prevent_overcharging_battery;Prevent overcharging of battery;Overcharging of the battery shall be prevented regarding voltage and current.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
21;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.3;4;3.0;1.0;1.0;3.0;;571858;H;Cause;;Overcharging of the battery, sleeping error in P path;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;19.10.2020;26.09.2022 16:58;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Service Personnel,System,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;
22;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.3.1;4;3.0;1.0;1.0;3.0;1.0;571859;R;Measure;self-test_overcharging_battery;Self-test of battery overcharging protection;Self-test at startup of battery overcharging protection;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;19.10.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
23;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.4;4;3.0;1.0;1.0;4.0;;564268;H;Cause;;Internal short circuits and temperature increase of the battery packs;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;
24;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.4.1;4;3.0;1.0;1.0;4.0;1.0;564261;R;Measure;prevent_charging_high_temperature_battery;Prevent charging of battery with high temperature;The temperature of the battery unit shall be monitored. When a critical temperature is reached, the charging of the battery shall be blocked.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
25;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.4.2;4;3.0;1.0;1.0;4.0;2.0;577242;R;Measure;ventilation_battery_housing;Ventilation battery housing;The battery pack housing shall be ventilated in such a way that in case of gas emission the accumulation of gases is prevented.Note: Gas emission only in error condition, not normal condition. Ventilation prevents accumulation of gases and possible ignition.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFSIEC 60601-1 cl. 15.4.3.1;;;Basic;System Integration Test;empty;empty;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
26;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.5;4;3.0;1.0;1.0;5.0;;571860;H;Cause;;Internal short circuits and temperature increase of the battery packs, sleeping error in P path;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;19.10.2020;26.09.2022 16:58;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;
27;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.5.1;4;3.0;1.0;1.0;5.0;1.0;571861;R;Measure;self-test_prevent_charging_high_temperature_battery;Self-test of protection against charging of battery with high temperature;Self-test at startup of battery temperature protection;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;19.10.2020;07.08.2021 15:05;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
28;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.6;4;3.0;1.0;1.0;6.0;;564269;H;Cause;;Mechanical destruction;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;
29;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.6.1;4;3.0;1.0;1.0;6.0;1.0;564262;R;Measure;battery_housing_mechanical_strength;Battery housing mechanical strength;The battery shall be provided with a housing to protect the battery from external mechanical impact.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
30;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.6.2;4;3.0;1.0;1.0;6.0;2.0;564263;R;Measure;battery_discharge_current_limitation;Battery discharge current limitation;The discharge current of the battery shall be limited (prevent sudden short circuit discharge, e. g. fuse at battery outlet).;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
31;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.7;4;3.0;1.0;1.0;7.0;;564270;H;Cause;;Thermal runaway of battery pack (internal short circuit, overheating);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;
32;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.7.1;4;3.0;1.0;1.0;7.0;1.0;564265;R;Measure;fireproof_battery_housing;Battery housing fireproof and preventing flame break-out;The battery shall be provided with a fireproof housing (thermal runaway), preventing spread of flames.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
33;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.1.7.2;4;3.0;1.0;1.0;7.0;2.0;564264;R;Measure;thermal_isolation_battery_cells;Thermal isolation of single battery cells;Thermal isolation of single battery cells against spread of thermal runaway chain reaction in other battery cells.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
34;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.2;4;3.0;1.0;2.0;;;577220;H;Hazard;;Inhalation of toxic fumes when battery material is burnt or exposed to fire (HS_084);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;22.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;No gases are emitted during normal charging or discharging.;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;High temperature,Release of stored energy,Flammability,loss of basic safety or essential performance;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
35;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.2.1;4;3.0;1.0;2.0;1.0;;577236;H;Cause;;Increased temperature of the battery packs;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;26.09.2022 16:58;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;
36;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.2.1.1;4;3.0;1.0;2.0;1.0;1.0;577237;H;Measure;prevent_charging_high_temperature_battery;Reference - Prevent charging of battery with high temperature;<XREF>564261</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
37;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.2.1.2;4;3.0;1.0;2.0;1.0;2.0;577241;H;Measure;prevent_overcharging_battery;Reference - Prevent overcharging of battery;<XREF>564260</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
38;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.2.1.3;4;3.0;1.0;2.0;1.0;3.0;577238;H;Measure;battery_housing_mechanical_strength;Reference - Battery housing mechanical strength;<XREF>564262</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
39;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.2.1.4;4;3.0;1.0;2.0;1.0;4.0;577239;H;Measure;battery_discharge_current_limitation;Reference - Battery discharge current limitation;<XREF>564263</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
40;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.2.1.5;4;3.0;1.0;2.0;1.0;5.0;577240;H;Measure;thermal_isolation_battery_cells;Reference - Thermal isolation of single battery cells;<XREF>564264</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
41;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.3;4;3.0;1.0;3.0;;;569265;H;Hazard;;Crushing by or collision with objects moving with limited kinetic energy and / or limited contact force or pressure (HS_041);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;15.09.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;Moving parts,slips, lapses and mistakes,Incorrect or inappropriate output,Software failure,Foreseeable misuse;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;
42;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2.4.3.1.3.1;4;3.0;1.0;3.0;1.0;;569264;H;Cause;;Activation of control elements by non-authorized persons (e. g. passer-by in the corridor);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;15.09.2020;16.08.2022 14:33;Klaus-Peter Fichtner (EXT);;;;;;HS_041;See general justifications in the introduction which apply here. ;Basic;n.a.;none;n.a.;2-B;2-B;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Service Personnel,System,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Low;C;
