;Project;Baseline;Type;Section;Chapter;Function;Hazard;Cause;Measure;Hierarchy #;ID;Entry Type;Hazard Type;RequireKey;Requirement;Description;Status;Priority;Owner;Owner (First Name);Owner (Last Name);Created By;Responsible;Registered Interest;Created On;Last Modified On;Modified By;Source;Charm;Open Points;S1 Subsystem;Hazard Remark;Harm;AFAP justification;Kano Ranking;Test Level;Rearrange Operation;Rearrange Reason;Initial Risk Assessment;Residual Risk Assessment;Validation Procedure State;New;Export;Level of Requirements;Level of Test;Usability;Domain;Applicable Generic Hazard;Hazard Effect To;System S1;Target Release S1;System IGS-Platform;Target Release IGS-Platform;System PreOPlan;Target Release PreOPlan;System ISS;IGS-Platform Subsystem;Target Release ISS;System S3;Target Release S3;S3 Subsystem;System NavSim;Target Release NavSim;Traced System;P1 before;P2 before;P1 after;Polarion Migration;Hierarchy
10;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;1;1;2;2;2.4.1.1.2.2.1;561951;Requirement;Measure;rough_handling_test_trolley;Rough handling test trolley;The trolley shall be designed to comply with IEC 60601-1 cl. 15.3.5.Assumed speed of the trolley: 0,8 m/s +/- 0,1 m/s;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;29.07.2020;25.03.2022 10:42;Rudolf Siebenhaar;;;;TrolleyU;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;Accepted;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '1', '1', '2', '2', '1']
11;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;2;;;;2.4.2;563439;Headline;Chapter;;Startup main unit in standalone mode;"Note, there are currently no risks related to ""Startup main unit in standalone mode"" identified.";Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;05.08.2020;15.06.2022 12:11;Johannes Schmidt;;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '2']
12;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;;;;2.4.3;563431;Headline;Chapter;;Move main unit chassis in standalone mode;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;05.08.2020;07.08.2021 15:03;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3']
13;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;;;2.4.3.1;564254;Headline;Function;;Move main unit chassis in standalone mode;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:03;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1']
14;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;;2.4.3.1.1;564255;Headline;Hazard;;Explosion, fire (HS_056, HS_030);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;High temperature,Release of stored energy,Flammability,loss of basic safety or essential performance;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1']
15;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;1;2.4.3.1.1.1;564256;Headline;Cause;;Short circuit of the battery (external);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Service Personnel,System,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;;['2', '4', '3', '1', '1', '1']
16;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;1;2.4.3.1.1.1.1;564257;Requirement;Measure;coded_battery_connector;Coded battery connector;The battery connector for charging shall be coded in order to prevent connection with wrong polarity.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;"SFSIEC 60601-1; 15.4.3.1 Housing, 15.4.3.2 Connection";;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '1', '1']
17;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;1;2.4.3.1.1.1.2;564258;Requirement;Measure;battery_prevent_accidental_short_circuit;Battery housing preventing accidental short circuit;The housing of the battery shall prevent accidental short circuit.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;17.06.2022 08:43;Johannes Schmidt;;;;Batt;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '1', '2']
18;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;1;2.4.3.1.1.1.3;564259;Requirement;Measure;check_wiring_battery;Wiring check battery in manufacturing;The battery wiring shall be checked during manufacturing.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '1', '3']
19;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;2;2.4.3.1.1.2;564267;Headline;Cause;;Overcharging of the battery (voltage, current);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Service Personnel,System,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;;['2', '4', '3', '1', '1', '2']
20;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;2;2.4.3.1.1.2.1;564260;Requirement;Measure;prevent_overcharging_battery;Prevent overcharging of battery;Overcharging of the battery shall be prevented regarding voltage and current.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '2', '1']
21;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;3;2.4.3.1.1.3;571858;Headline;Cause;;Overcharging of the battery, sleeping error in P path;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;19.10.2020;26.09.2022 16:58;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Service Personnel,System,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;;['2', '4', '3', '1', '1', '3']
22;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;3;2.4.3.1.1.3.1;571859;Requirement;Measure;self-test_overcharging_battery;Self-test of battery overcharging protection;Self-test at startup of battery overcharging protection;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;19.10.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '3', '1']
23;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;4;2.4.3.1.1.4;564268;Headline;Cause;;Internal short circuits and temperature increase of the battery packs;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;;['2', '4', '3', '1', '1', '4']
24;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;4;2.4.3.1.1.4.1;564261;Requirement;Measure;prevent_charging_high_temperature_battery;Prevent charging of battery with high temperature;The temperature of the battery unit shall be monitored. When a critical temperature is reached, the charging of the battery shall be blocked.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '4', '1']
25;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;4;2.4.3.1.1.4.2;577242;Requirement;Measure;ventilation_battery_housing;Ventilation battery housing;The battery pack housing shall be ventilated in such a way that in case of gas emission the accumulation of gases is prevented.Note: Gas emission only in error condition, not normal condition. Ventilation prevents accumulation of gases and possible ignition.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFSIEC 60601-1 cl. 15.4.3.1;;;Basic;System Integration Test;empty;empty;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '4', '2']
26;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;5;2.4.3.1.1.5;571860;Headline;Cause;;Internal short circuits and temperature increase of the battery packs, sleeping error in P path;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;19.10.2020;26.09.2022 16:58;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;;['2', '4', '3', '1', '1', '5']
27;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;5;2.4.3.1.1.5.1;571861;Requirement;Measure;self-test_prevent_charging_high_temperature_battery;Self-test of protection against charging of battery with high temperature;Self-test at startup of battery temperature protection;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;19.10.2020;07.08.2021 15:05;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '5', '1']
28;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;6;2.4.3.1.1.6;564269;Headline;Cause;;Mechanical destruction;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;;['2', '4', '3', '1', '1', '6']
29;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;6;2.4.3.1.1.6.1;564262;Requirement;Measure;battery_housing_mechanical_strength;Battery housing mechanical strength;The battery shall be provided with a housing to protect the battery from external mechanical impact.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '6', '1']
30;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;6;2.4.3.1.1.6.2;564263;Requirement;Measure;battery_discharge_current_limitation;Battery discharge current limitation;The discharge current of the battery shall be limited (prevent sudden short circuit discharge, e. g. fuse at battery outlet).;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '6', '2']
31;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;7;2.4.3.1.1.7;564270;Headline;Cause;;Thermal runaway of battery pack (internal short circuit, overheating);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;26.09.2022 16:53;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;;['2', '4', '3', '1', '1', '7']
32;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;7;2.4.3.1.1.7.1;564265;Requirement;Measure;fireproof_battery_housing;Battery housing fireproof and preventing flame break-out;The battery shall be provided with a fireproof housing (thermal runaway), preventing spread of flames.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '7', '1']
33;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;1;7;2.4.3.1.1.7.2;564264;Requirement;Measure;thermal_isolation_battery_cells;Thermal isolation of single battery cells;Thermal isolation of single battery cells against spread of thermal runaway chain reaction in other battery cells.;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;12.08.2020;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '1', '7', '2']
34;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;2;;2.4.3.1.2;577220;Headline;Hazard;;Inhalation of toxic fumes when battery material is burnt or exposed to fire (HS_084);;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;22.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;;No gases are emitted during normal charging or discharging.;;;Basic;n.a.;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;High temperature,Release of stored energy,Flammability,loss of basic safety or essential performance;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '2']
35;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;2;1;2.4.3.1.2.1;577236;Headline;Cause;;Increased temperature of the battery packs;;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;26.09.2022 16:58;Klaus-Peter Fichtner (EXT);;;;;;HS_056HS_030;See general justifications in the introduction which apply here.;Basic;n.a.;none;n.a.;3-B;3-A;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;Patient,User,Environment;S1M;VB10;;;;;;;;;;;;;NotDetermined;C;Med;B;;['2', '4', '3', '1', '2', '1']
36;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;2;1;2.4.3.1.2.1.1;577237;Headline;Measure;prevent_charging_high_temperature_battery;Reference - Prevent charging of battery with high temperature;<XREF>564261</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '2', '1', '1']
37;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;2;1;2.4.3.1.2.1.2;577241;Headline;Measure;prevent_overcharging_battery;Reference - Prevent overcharging of battery;<XREF>564260</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '2', '1', '2']
38;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;2;1;2.4.3.1.2.1.3;577238;Headline;Measure;battery_housing_mechanical_strength;Reference - Battery housing mechanical strength;<XREF>564262</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '2', '1', '3']
39;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;2;1;2.4.3.1.2.1.4;577239;Headline;Measure;battery_discharge_current_limitation;Reference - Battery discharge current limitation;<XREF>564263</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;SFS;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '2', '1', '4']
40;PS_S1;Current Baseline;06H_Risk_Analysis (06H);2;4;3;1;2;1;2.4.3.1.2.1.5;577240;Headline;Measure;thermal_isolation_battery_cells;Reference - Thermal isolation of single battery cells;<XREF>564264</XREF>;Approved;Unassigned;Judith Welzel;Judith;Welzel;Judith Welzel;;;25.01.2021;07.08.2021 15:04;Yesin Gasmi (EXT);;;;Batt;;;;Basic;System Integration Test;none;n.a.;Not determined;Not determined;TBD;NotDetermined;NotDetermined;NotDetermined;NotDetermined;No;None;;;S1M;VB10;;;;;;;;;;;;;NotDetermined;;;;;['2', '4', '3', '1', '2', '1', '5']
